Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200074,Dried Produce,Fried Garlic,5.24,,,,,5.24,5.24
,200075,Dried Produce,Dried Grated Coconut,4.19,,,,,4.19,4.19
,200076,Filipino Spice Mixes,Fried Spring Rolls Seasoning Mix,1.25,,,,,1.25,1.25
,200077,Filipino Spice Mixes,"Homestyle Filipino Recipes, Rice Noodle Stir-Fry Mix Seasoning",1.25,,,,,1.25,1.25
,200078,Filipino Spice Mixes,"Tocino Mix, Marinating Mix",1.25,,,,,1.25,1.25
,200079,Filipino Spice Mixes,Breading Mix,1.35,,,,,1.35,1.35
,200080,Filipino Spice Mixes,Stew Base Mix,1.25,,,,,1.25,1.25
,200081,Filipino Spice Mixes,Sweet And Sour Sauce Mix,0.93,,,,,0.93,0.93
,200082,Filipino Spice Mixes,Peanut Sauce Mix,1.25,,,,,1.25,1.25
,200083,Filipino Spice Mixes,Barbecue Marinade Mix,1.25,,,,,1.25,1.25
,200084,Filipino Spice Mixes,Guava Soup Base Mix,1.25,,,,,1.25,1.25
,200085,Filipino Spice Mixes,Instant Mung Bean Soup Mix,1.25,,,,,1.25,1.25
,200086,Filipino Spice Mixes,Tamarind Seasoning Mix,1.25,,,,,1.25,1.25
,200087,Filipino Spice Mixes,Tamarind Soup Base Mix,1.25,,,,,1.25,1.25
,200088,Filipino Spice Mixes,Tamarind Soup Mix With Other Natural Flavor,1.25,,,,,1.25,1.25
,200089,Herbal Teas & Remedies,"Tongbian Tea Bags, 10 Tea Bags",3.77,,,,,3.77,3.77
,200090,Herbal Teas & Remedies,Artichoke Tea,5.24,,,,,5.24,5.24
,200091,Herbal Teas & Remedies,Lo Han Kuo,3.14,,,,,3.14,3.14
,200092,Herbal Teas & Remedies,Pearl Barley And Lily Bulb Stock,1.77,,,,,1.77,1.77
,200093,Herbal Teas & Remedies,Assorted Herbs,1.04,,,,,1.04,1.04
,200094,Herbal Teas & Remedies,"Thuoc Xong Bac Thai, Herb Mix, External Use Only",3.98,,,,,3.98,3.98
,200095,Herbal Teas & Remedies,Herb Tea,4.82,,,,,4.82,4.82
,200096,Herbal Teas & Remedies,Korean Ginseng Drink With Root,17.84,,,,,17.84,17.84
,200097,Herbal Teas & Remedies,Ginseng Drink,17.84,,,,,17.84,17.84
