Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200295,Seasonings & Curry Pastes,Tom Ka Paste,1.25,,,,,1.25,1.25
,200296,Seasonings & Curry Pastes,Tom Yum Paste,1.25,,,,,1.25,1.25
,200297,Seasonings & Curry Pastes,Nam Ya Curry Paste,1.04,,,,,1.04,1.04
,200298,Seasonings & Curry Pastes,Kang Kiewwan Curry Paste,5.24,,,,,5.24,5.24
,200299,Seasonings & Curry Pastes,Oxtail Seasoning Paste,3.77,,,,,3.77,3.77
,200300,Seasonings & Curry Pastes,Madras Curry Paste,3.77,,,,,3.77,3.77
,200301,Seasonings & Curry Pastes,White Lime Paste,1.04,,,,,1.04,1.04
,200302,Seasonings & Curry Pastes,Red Lime Paste,1.04,,,,,1.04,1.04
,200303,Seasonings & Curry Pastes,Singapore Curry Gravy,3.14,,,,,3.14,3.14
,200304,Seasonings & Curry Pastes,Sour Curry Paste,1.35,,,,,1.35,1.35
,200305,Seasonings & Curry Pastes,Karee Curry Paste (Yellow Curry Paste),1.46,,,,,1.46,1.46
,200306,Seasonings & Curry Pastes,Panang Curry Paste,1.46,,,,,1.46,1.46
,200307,Seasonings & Curry Pastes,Green Curry Paste,1.35,,,,,1.35,1.35
,200308,Seasonings & Curry Pastes,Red Curry Paste,1.46,,,,,1.46,1.46
,200309,Seasonings & Curry Pastes,Prik Khing Curry Paste,1.35,,,,,1.35,1.35
,200310,Seasonings & Curry Pastes,Massaman Curry Paste,1.46,,,,,1.46,1.46
,200311,Seasonings & Curry Pastes,Chu Chee Curry Paste,1.35,,,,,1.35,1.35
,200312,Seasonings & Curry Pastes,Kaeng Kua Curry Paste,1.35,,,,,1.35,1.35
,200313,Seasonings & Curry Pastes,Yellow Sour Curry Paste,1.35,,,,,1.35,1.35
,200314,Seasonings & Curry Pastes,Kaeng Par Curry Paste,1.35,,,,,1.35,1.35
,200315,Seasonings & Curry Pastes,Nam Ya Paste,3.98,,,,,3.98,3.98
,200316,Seasonings & Curry Pastes,Yellow Curry Paste,3.45,,,,,3.45,3.45
,200317,Seasonings & Curry Pastes,Instant Sour Paste Tom Yum,3.98,,,,,3.98,3.98
,200318,Seasonings & Curry Pastes,Instant Seafood Clear Soup Paste,1.98,,,,,1.98,1.98
,200319,Seasonings & Curry Pastes,Spicy Crab Paste,2.4,,,,,2.4,2.4
,200320,Seasonings & Curry Pastes,Spicy Beef Flavored Paste,2.09,,,,,2.09,2.09
,200321,Seasonings & Curry Pastes,Satay,3.35,,,,,3.35,3.35
,200322,Seasonings & Curry Pastes,Shrimp Paste,2.09,,,,,2.09,2.09
,200323,Seasonings & Curry Pastes,Shrimp Sauce Finely Ground,6.29,,,,,6.29,6.29
,200324,Seasonings & Curry Pastes,Shrimp Sauce,5.24,,,,,5.24,5.24
,200325,Seasonings & Curry Pastes,Mud Fish Sauce,7.34,,,,,7.34,7.34
,200326,Soup Mixes,Wonton Soup Mix,1.25,,,,,1.25,1.25
,200327,Soup Mixes,Sour Soup Base Mix,2.93,,,,,2.93,2.93
,200328,Soup Mixes,Spicy Artificial Beef Flavor Broth,1.88,,,,,1.88,1.88
,200329,Soup Mixes,Artificial Beef Flavor Broth,1.88,,,,,1.88,1.88
,200330,Soup Mixes,Beef Flavor Broth,1.67,,,,,1.67,1.67
,200331,Soup Mixes,Meatball Soup Seasoning,3.77,,,,,3.77,3.77
,200332,Soup Mixes,Jakarta Variety Meat Soup Seasoning,3.77,,,,,3.77,3.77
,200333,Soup Mixes,Chicken Soto Soup Seasoning,3.77,,,,,3.77,3.77
,200334,Soup Mixes,Granulated Shrimp Bouillon,1.88,,,,,1.88,1.88
,200335,Soup Mixes,Shrimp Tom Yum Flavor,13.22,,,,,13.22,13.22
,200336,Soup Mixes,Red Curry Soup,1.88,,,,,1.88,1.88
,200337,Soup Mixes,Green Curry Soup,1.88,,,,,1.88,1.88
,200338,Soup Mixes,Massaman Curry Soup,1.77,,,,,1.77,1.77
,200339,Soup Mixes,Artificial Beef Flavor Broth Mix,3.14,,,,,3.14,3.14
,200340,Soup Mixes,Wonton Soup Base Mix,3.14,,,,,3.14,3.14
,200341,Soup Mixes,Chicken Flavored Broth Mix,11.54,,,,,11.54,11.54
,200342,Soup Mixes,Granulated Chicken Flavor Soup Base Mix,6.18,,,,,6.18,6.18
,200343,Soup Mixes,Seasoning For Rice Soup,2.4,,,,,2.4,2.4
,200344,Soup Mixes,Instant Wakame Soup Seaweed Soup,3.14,,,,,3.14,3.14
,200345,Soup Mixes,Instant Tofu Miso Soup,3.35,,,,,3.35,3.35
,200346,Soup Mixes,Instant Shiro Miso Soup,3.14,,,,,3.14,3.14
,200347,Soup Mixes,Egg Flower Soup Mix,3.14,,,,,3.14,3.14
,200348,Soup Mixes,Seafood Soup Mix Shrimp Flavor,3.14,,,,,3.14,3.14
,200349,Soup Mixes,Egg Flower Soup Mix Hot & Sour,3.35,,,,,3.35,3.35
,200350,Soup Mixes,Seafood Soup Mix Crab Flavor,3.14,,,,,3.14,3.14
,200351,Soup Mixes,Egg Flower Soup Mix Vegetable,3.14,,,,,3.14,3.14
,200352,Soup Mixes,Soup Base For Satay Hot Pot,1.67,,,,,1.67,1.67
,200353,Soup Mixes,Instant Concentrate Soup Base Chicken Flavor,1.98,,,,,1.98,1.98
,200354,Soup Mixes,Instant Concentrate Soup Base Pork Flavor,1.98,,,,,1.98,1.98
,200355,Soup Mixes,Spicy Crab Soup,1.88,,,,,1.88,1.88
,200356,Spice & Seasoning Mixes,Spicy Chicken And Rice Seasoning Mix,1.35,,,,,1.35,1.35
,200357,Spice & Seasoning Mixes,"Barbecue Seasoning Mix, Lobo",1.46,,,,,1.46,1.46
,200358,Spice & Seasoning Mixes,Chinese Five-Spice Blend,1.46,,,,,1.46,1.46
,200359,Spice & Seasoning Mixes,Powder For Fermenting Pork,1.56,,,,,1.56,1.56
,200360,Spice & Seasoning Mixes,Pepper And Garlic Seasoning Mix,1.25,,,,,1.25,1.25
,200361,Spice & Seasoning Mixes,Nam Nuong Seasoning Mix,1.25,,,,,1.25,1.25
,200362,Spice & Seasoning Mixes,Satay Seasoning Mix,1.56,,,,,1.56,1.56
,200363,Spice & Seasoning Mixes,Roast Red Pork Seasoning Mix,1.46,,,,,1.46,1.46
,200364,Spice & Seasoning Mixes,Seasoning Mix For Chicken,1.46,,,,,1.46,1.46
,200365,Spice & Seasoning Mixes,Mutton In A Tongseng Seasoning,3.87,,,,,3.87,3.87
,200366,Spice & Seasoning Mixes,Oriental Special Mixed Chili,1.25,,,,,1.25,1.25
,200367,Spice & Seasoning Mixes,Oriental Special Five Spices,1.25,,,,,1.25,1.25
,200368,Spice & Seasoning Mixes,Spices For Vietnamese Noodle Soup,1.04,,,,,1.04,1.04
,200369,Spice & Seasoning Mixes,Spices For Chicken Wings Butter Fry,1.35,,,,,1.35,1.35
,200370,Spice & Seasoning Mixes,Indian Curry Powder For Chicken,1.98,,,,,1.98,1.98
,200371,Spice & Seasoning Mixes,Bbq Beef And Shrimp Mix,1.04,,,,,1.04,1.04
,200372,Spice & Seasoning Mixes,Amomum Costatum,3.03,,,,,3.03,3.03
,200373,Spice & Seasoning Mixes,Oriental Fried Rice Seasoning Mix,1.04,,,,,1.04,1.04
,200374,Spice & Seasoning Mixes,Som Tam Seasoning Powder,1.35,,,,,1.35,1.35
,200375,Spice & Seasoning Mixes,Laab-namtok Seasoning Mix,1.25,,,,,1.25,1.25
,200376,Spice & Seasoning Mixes,Noodle Curry Mix,1.25,,,,,1.25,1.25
,200377,Spice & Seasoning Mixes,Satay Sauce Mix,1.04,,,,,1.04,1.04
,200378,Spice & Seasoning Mixes,Pad Thai Stir-fry Sauce,1.56,,,,,1.56,1.56
,200379,Spice & Seasoning Mixes,Roast Red Pork Gravy Mix,1.25,,,,,1.25,1.25
,200380,Spice & Seasoning Mixes,Kaang Lieng Seasoning Mix,1.25,,,,,1.25,1.25
,200381,Spice & Seasoning Mixes,Ns-mix (Food Additive),1.04,,,,,1.04,1.04
,200382,Spice & Seasoning Mixes,Artificial Maengdana Flavor,1.88,,,,,1.88,1.88
,200383,Spice & Seasoning Mixes,Bumbu Satai Padang,3.77,,,,,3.77,3.77
,200384,Spice & Seasoning Mixes,Laksa Seasoning,3.77,,,,,3.77,3.77
,200385,Spice & Seasoning Mixes,Jakarta Fragrant Rice Seasoning,3.77,,,,,3.77,3.77
,200386,Spice & Seasoning Mixes,Steamed Fish With Hot Spices Seasoning,3.66,,,,,3.66,3.66
,200387,Spice & Seasoning Mixes,Javanese Fried Noodle Seasoning,3.77,,,,,3.77,3.77
,200388,Spice & Seasoning Mixes,Oriental Spices Roast Pork Rib Beef Chicken,1.25,,,,,1.25,1.25
,200389,Spice & Seasoning Mixes,Oriental Spices For Catfish Sauce,1.25,,,,,1.25,1.25
,200390,Spice & Seasoning Mixes,Hot Spicy Szechuan Seasoning Mix,1.25,,,,,1.25,1.25
,200391,Spice & Seasoning Mixes,Hot And Spicy Kung Pao Chicken Seasoning Mix,1.25,,,,,1.25,1.25
,200392,Spice & Seasoning Mixes,Chinese Barbecue Seasoning Mix,1.56,,,,,1.56,1.56
,200393,Spice & Seasoning Mixes,Chinese Fried Rice Seasoning Mix,1.56,,,,,1.56,1.56
,200394,Spice & Seasoning Mixes,Chinese Roast Duck Mix,1.35,,,,,1.35,1.35
,200395,Spice & Seasoning Mixes,Hawaiian Style Teri Burger Seasoning Mix,1.56,,,,,1.56,1.56
,200396,Spice & Seasoning Mixes,Korean Barbecue Seasoning Mix,1.46,,,,,1.46,1.46
,200397,Spice & Seasoning Mixes,Chinese Sweet Sour Spareribs Seasoning Mix,1.46,,,,,1.46,1.46
,200398,Spice & Seasoning Mixes,Malaysian Curry Powder,1.56,,,,,1.56,1.56
,200399,Spice & Seasoning Mixes,Tofu Burger Patty Mix,3.14,,,,,3.14,3.14
,200400,Spice & Seasoning Mixes,Japanese Teriyaki Seasoning Mix,1.25,,,,,1.25,1.25
,200401,Spice & Seasoning Mixes,Hawaiian Spicy Chicken Seasoning Mix,2.09,,,,,2.09,2.09
,200402,Spice & Seasoning Mixes,Chinese Lemon Chicken Sauce Mix,2.09,,,,,2.09,2.09
,200403,Spice & Seasoning Mixes,Bree Hot Pot Paste,3.03,,,,,3.03,3.03
,200404,Spice & Seasoning Mixes,Sauce For Ma Po Tofu,1.46,,,,,1.46,1.46
,200405,Spice & Seasoning Mixes,Sauce For Shredded Pork In Peking Style,1.25,,,,,1.25,1.25
,200406,Spice & Seasoning Mixes,Sauce For Sweet And Spicy Beef Ribs,1.14,,,,,1.14,1.14
,200407,Spice & Seasoning Mixes,O.C. Cajun Seasoning,7.86,,,,,7.86,7.86
,200408,Spice & Seasoning Mixes,O.C. Cajun Chili Mix,3.03,,,,,3.03,3.03
,200409,Spice & Seasoning Mixes,Shrimp Powder With Chili,4.19,,,,,4.19,4.19
,200410,Spice & Seasoning Mixes,Spicy Thai Salad Dressing Mix,3.35,,,,,3.35,3.35
,200411,Spices,Paprika,22.04,,,,,22.04,22.04
,200412,Spices,Oriental Beef Spices,1.25,,,,,1.25,1.25
,200413,Spices,Coriander Seeds,1.25,,,,,1.25,1.25
,200414,Spices,Paprika Powder,1.67,,,,,1.67,1.67
,200415,Spices,Spice Seasoning,2.09,,,,,2.09,2.09
,200416,Spices,Dried Prickly Ash (Dried Sichuan Pepper),3.14,,,,,3.14,3.14
,200417,Spices,Fennel Seeds,1.25,,,,,1.25,1.25
,200418,Spices,Basil Seeds,1.56,,,,,1.56,1.56
,200419,Spices,Annatto Seed,1.25,,,,,1.25,1.25
,200420,Spices,Coriander,1.25,,,,,1.25,1.25
,200421,Spices,"Fried Desiccated Coconut, Spicy",2.3,,,,,2.3,2.3
,200422,Spices,Annatto Powder,0.72,,,,,0.72,0.72
,200423,Spices,Ground Cinnamon,0.62,,,,,0.62,0.62
,200424,Spices,Baking Powder,2.09,,,,,2.09,2.09
,200425,Spices,Dried Star Anise,7.34,,,,,7.34,7.34
,200426,Spices,"Spice Grains, Coriander Seeds",5.24,,,,,5.24,5.24
,200427,Spices,Dried Cloves,16.79,,,,,16.79,16.79
,200428,Spices,Concentrated Cooking Tamarind,2.93,,,,,2.93,2.93
,200429,Spices,Dried Yeast,3.77,,,,,3.77,3.77
,200430,Spices,Poontalai,1.77,,,,,1.77,1.77
,200431,Spices,Black Sesame Seed,1.88,,,,,1.88,1.88
,200432,Spices,Dried Cinnamon,7.34,,,,,7.34,7.34
,200433,Spices,White Sesame Seed,1.88,,,,,1.88,1.88
,200434,Spices,Indonesian Bay Leaf,1.25,,,,,1.25,1.25
,200435,Spices,Crushed Chili,0.93,,,,,0.93,0.93
,200436,Spices,Cumin Powder,1.04,,,,,1.04,1.04
,200437,Spices,Turmeric Powder,1.25,,,,,1.25,1.25
,200438,Spices,Chili Powder,4.5,,,,,4.5,4.5
,200439,Spices,Red Pepper Powder,1.88,,,,,1.88,1.88
,200440,Spices,Special Grade White Pepper,5.87,,,,,5.87,5.87
,200441,Spices,Whole Black Pepper,4.19,,,,,4.19,4.19
,200442,Spices,White Pepper Powder,10.49,,,,,10.49,10.49
,200443,Spices,Black Pepper Powder,9.44,,,,,9.44,9.44
,200444,Spices,Clove Powder,2.09,,,,,2.09,2.09
,200445,Spices,Kaempferia Galanga Powder,2.72,,,,,2.72,2.72
,200446,Spices,Caraway Powder,2.09,,,,,2.09,2.09
,200447,Spices,Whole Cumin Seeds,2.09,,,,,2.09,2.09
,200448,Spices,Star Anise Powder,1.56,,,,,1.56,1.56
,200449,Spices,Lemongrass Powder,3.14,,,,,3.14,3.14
,200450,Spices,Ginger Powder,3.14,,,,,3.14,3.14
,200451,Spices,Galanga Powder,3.77,,,,,3.77,3.77
,200452,Spices,Madras Curry Powder,3.77,,,,,3.77,3.77
,200453,Spices,Fried Garlic,6.29,,,,,6.29,6.29
,200454,Spices,Bai-ya-nan Leaves,3.14,,,,,3.14,3.14
,200455,Spices,Palm Nut,3.14,,,,,3.14,3.14
,200456,Spices,Som-poi,8.39,,,,,8.39,8.39
,200457,Spices,Dehydrated Crushed Hot Chili,26.24,,,,,26.24,26.24
,200458,Spices,Natural Sea Salt,2.4,,,,,2.4,2.4
,200459,Spices,Sea Salt Fine Grain,6.6,,,,,6.6,6.6
,200460,Spices,Five Spices Powder,2.3,,,,,2.3,2.3
,200461,Spices,Chinese Five Spices,2.4,,,,,2.4,2.4
,200462,Starches & Flours,Mung Bean Starch,2.72,,,,,2.72,2.72
,200463,Starches & Flours,Mixed Flour For Rice Sticks,0.93,,,,,0.93,0.93
,200464,Starches & Flours,Tapioca Starch,1.35,,,,,1.35,1.35
,200465,Starches & Flours,Powdered Purple Yam,4.82,,,,,4.82,4.82
,200466,Starches & Flours,Jelly Powder,1.67,,,,,1.67,1.67
,200467,Starches & Flours,Tempura Flour,0.93,,,,,0.93,0.93
,200468,Starches & Flours,Tempura Mix,0.83,,,,,0.83,0.83
,200469,Starches & Flours,"Agar-Agar Powder, Telephone Brand",2.3,,,,,2.3,2.3
,200470,Starches & Flours,"Agar Agar Powder, Now Globe Brand",1.35,,,,,1.35,1.35
,200471,Starches & Flours,Corn Flakes,2.09,,,,,2.09,2.09
,200472,Starches & Flours,"Tapioca Starch, 14 Oz",0.93,,,,,0.93,0.93
,200473,Starches & Flours,"Tapioca Starch, 16 Oz",1.35,,,,,1.35,1.35
,200474,Starches & Flours,"Rice Flour, 16 Oz",1.14,,,,,1.14,1.14
,200475,Starches & Flours,"Glutinous Rice Flour, 16 Oz",1.25,,,,,1.25,1.25
,200476,Starches & Flours,Rice Spaghetti (Bot Banh Canh),1.35,,,,,1.35,1.35
,200477,Starches & Flours,Flour For Rice Pancake,1.67,,,,,1.67,1.67
,200478,Starches & Flours,Vietnamese Steamed Rice Roll Mix,1.46,,,,,1.46,1.46
,200479,Starches & Flours,Sweet Potato Starch,1.77,,,,,1.77,1.77
,200480,Starches & Flours,Mixed Flour For Finest Flour Cake,1.35,,,,,1.35,1.35
,200481,Starches & Flours,Flower For Small Pancakes,1.46,,,,,1.46,1.46
,200482,Starches & Flours,Potato Starch,3.03,,,,,3.03,3.03
,200483,Starches & Flours,"White Rice Cake, Flour ??",1.35,,,,,1.35,1.35
,200484,Starches & Flours,Dumpling Flour,1.46,,,,,1.46,1.46
,200485,Starches & Flours,All Purpose Flour,2.09,,,,,2.09,2.09
,200486,Starches & Flours,Steamed Bun Flour,1.46,,,,,1.46,1.46
,200487,Starches & Flours,Flour For Steamed Rice Rolls,1.35,,,,,1.35,1.35
,200488,Starches & Flours,Transparent Wet Rice Rolls Flour,1.35,,,,,1.35,1.35
,200489,Starches & Flours,"Deep Fried Shrimp Cake, Mix",1.35,,,,,1.35,1.35
,200490,Starches & Flours,Flour For Steamed Pork Cake,1.25,,,,,1.25,1.25
,200491,Starches & Flours,Tempura Batter Mix,1.35,,,,,1.35,1.35
,200492,Starches & Flours,Little Circle Fried Shrimp Flour,1.35,,,,,1.35,1.35
,200493,Starches & Flours,Banana And Shrimp Batter Mix,1.35,,,,,1.35,1.35
,200494,Starches & Flours,Kanomchan Flour,1.88,,,,,1.88,1.88
,200495,Starches & Flours,Wheat Starch,1.46,,,,,1.46,1.46
,200496,Starches & Flours,Roast Rice Powder,1.25,,,,,1.25,1.25
,200497,Starches & Flours,Banana Fritter Batter Mix,1.56,,,,,1.56,1.56
,200498,Starches & Flours,Water Chestnut Starch,4.08,,,,,4.08,4.08
,200499,Starches & Flours,Sweet Rice Flour,2.09,,,,,2.09,2.09
,200500,Starches & Flours,Cornstarch,1.56,,,,,1.56,1.56
,200501,Starches & Flours,Salapao Mix,2.09,,,,,2.09,2.09
,200502,Sugar & Sweets,Vanilla Sugar,2.09,,,,,2.09,2.09
,200503,Sugar & Sweets,White Alum,1.04,,,,,1.04,1.04
,200504,Sugar & Sweets,Green Jelly,1.35,,,,,1.35,1.35
,200505,Sugar & Sweets,Almond Jelly,1.56,,,,,1.56,1.56
,200506,Sugar & Sweets,Ai Yu Jelly,1.35,,,,,1.35,1.35
,200507,Sugar & Sweets,Sweet Coconut Balls,3.14,,,,,3.14,3.14
,200508,Sugar & Sweets,Sweet Fruit Mixture,5.24,,,,,5.24,5.24
,200509,Sugar & Sweets,Dried Licorice Slice,2.3,,,,,2.3,2.3
,200510,Sugar & Sweets,Lump Candy,1.98,,,,,1.98,1.98
,200511,Sugar & Sweets,"Palm Sugar, 17.6 Oz",1.88,,,,,1.88,1.88
,200512,Sugar & Sweets,Palm Sugar,2.3,,,,,2.3,2.3
,200513,Sugar & Sweets,"Palm Sugar, O - Cha",1.77,,,,,1.77,1.77
,200514,Sugar & Sweets,"Palm Sugar, Ctf Brand",1.88,,,,,1.88,1.88
,200515,Sugar & Sweets,"Palm Sugar, Oh - Cha",1.88,,,,,1.88,1.88
,200516,Sugar & Sweets,Rock Candy,1.88,,,,,1.88,1.88
,200517,Sugar & Sweets,"Yellow Rock Sugar, 16 Oz",1.88,,,,,1.88,1.88
,200518,Sugar & Sweets,"Palm Sugar, Kokonusszucker",3.66,,,,,3.66,3.66
,200519,Sugar & Sweets,Fruit Pickles,3.87,,,,,3.87,3.87
,200520,Sugar & Sweets,Coconut Agar Dessert Mix,1.35,,,,,1.35,1.35
,200521,Sugar & Sweets,Mango Flavor Agar Dessert Mix,1.46,,,,,1.46,1.46
,200522,Sugar & Sweets,Coconut Juice Flavor Agar Dessert Mix,1.46,,,,,1.46,1.46
,200523,Sugar & Sweets,Thai Flowers Flavor Agar Dessert Mix,1.46,,,,,1.46,1.46
,200524,Sugar & Sweets,Thai Fruits Flavor Agar Dessert Mix,1.14,,,,,1.14,1.14
,200525,Sugar & Sweets,Coffee Agar Dessert Mix,1.14,,,,,1.14,1.14
,200526,Sugar & Sweets,Custard Agar Dessert Mix,1.14,,,,,1.14,1.14
,200527,Sugar & Sweets,Black Grass Jelly,1.67,,,,,1.67,1.67
,200528,Sugar & Sweets,Green Mashed Beans Flavor Pudding Powder,1.46,,,,,1.46,1.46
,200529,Sugar & Sweets,Thai Custard Mix Pandan Flavor,1.25,,,,,1.25,1.25
,200530,Sugar & Sweets,Thai Custard Mix Vanilla Flavor,1.14,,,,,1.14,1.14
,200531,Sugar & Sweets,Coconut Milk Pudding,1.88,,,,,1.88,1.88
,200532,Sugar & Sweets,Jelly Pudding Mango Flavor,1.67,,,,,1.67,1.67
,200533,Sugar & Sweets,Jelly Powder Pandan Flavor,1.67,,,,,1.67,1.67
,200534,Sugar & Sweets,Agar Jelly Pudding Coconut Flavor,1.67,,,,,1.67,1.67
,200535,Sugar & Sweets,Natural Agar Gelatin Dessert,2.72,,,,,2.72,2.72
,200536,Sugar & Sweets,Steam Rose Cake Mix,3.14,,,,,3.14,3.14
,200537,Sugar & Sweets,Pandan Chiffon Cake Mix,3.14,,,,,3.14,3.14
,200538,Sugar & Sweets,Sponge Cake Mix,3.14,,,,,3.14,3.14
,200539,Sugar & Sweets,Sweet Martabak Cake Mix,3.14,,,,,3.14,3.14
,200540,Sugar & Sweets,Steamed White Cake Mix,2.39,,,,,2.39,2.39
,200541,Sugar & Sweets,Sweetened Red Beans,4.5,,,,,4.5,4.5
,200542,Sugar & Sweets,Coco Caramel Syrup,2.09,,,,,2.09,2.09
,200543,Sugar & Sweets,Coconut Cream Powder,2.09,,,,,2.09,2.09
,200544,Syrups & Flavorings,Concentrated Artificial Sala Flavored Syrup,3.66,,,,,3.66,3.66
,200545,Syrups & Flavorings,Concentrated Artificial Cream Soda Flavored Syrup,3.66,,,,,3.66,3.66
,200546,Syrups & Flavorings,Concentrated Artificial Pineapple Flavored Syrup,3.45,,,,,3.45,3.45
,200547,Syrups & Flavorings,Concentrated Artificial Mali Flavored Syrup,3.45,,,,,3.45,3.45
,200548,Syrups & Flavorings,Pandan Flavoring,1.56,,,,,1.56,1.56
,200549,Syrups & Flavorings,"Flavoring Essence, Coconut",1.88,,,,,1.88,1.88
,200550,Syrups & Flavorings,"Flavoring Essence, Jasmine",1.98,,,,,1.98,1.98
,200551,Syrups & Flavorings,Vanilla Syrup,3.98,,,,,3.98,3.98
,200552,Syrups & Flavorings,Strawberry Syrup,4.19,,,,,4.19,4.19
,200553,Syrups & Flavorings,Rasa Mocca Syrup,3.45,,,,,3.45,3.45
,200554,Syrups & Flavorings,Coconut Gel In Syrup,1.88,,,,,1.88,1.88
,200555,Tapioca,Dried Tapioca Shreds,1.46,,,,,1.46,1.46
,200556,Tapioca,Black Tapioca Pearls,2.72,,,,,2.72,2.72
,200557,Tapioca,Clear Tapioca Pearls,3.03,,,,,3.03,3.03
,200558,Tapioca,Tapioca Pearls,1.25,,,,,1.25,1.25
,200559,Refrigerated Produce,Sweet Tamarind,4.71,,,,,4.71,4.71
,200560,Refrigerated Produce,Yuzi Tofu,2.61,,,,,2.61,2.61
,200561,Refrigerated Produce,Seasoned Fried Bean Curd (12pcs),4.19,,,,,4.19,4.19
,200562,Refrigerated Produce,Tofu (Firm),1.88,,,,,1.88,1.88
,200563,Refrigerated Produce,Tofu (Medium Firm),1.88,,,,,1.88,1.88
,200564,Refrigerated Produce,White Beech Mushroom,1.56,,,,,1.56,1.56
,200565,Refrigerated Produce,Brown Beech Mushroom,1.56,,,,,1.56,1.56
,200566,Refrigerated Produce,Organic Maitake Mushrooms,2.72,,,,,2.72,2.72
,200567,Refrigerated Produce,Organic Dried Red Jujubes,4.19,,,,,4.19,4.19
,200568,Refrigerated Produce,Pickled Radish,4.19,,,,,4.19,4.19
,200569,Refrigerated Produce,Kimchi (3LB),11.54,,,,,11.54,11.54
,200570,Refrigerated Produce,"Kimchi (1lb, 12oz.)",7.86,,,,,7.86,7.86
,200571,Refrigerated Produce,Kimchi (14oz),5.55,,,,,5.55,5.55
,200572,Refrigerated Produce,Radish Kimchi,5.24,,,,,5.24,5.24
,200573,Refrigerated Produce,Soybean Paste Red Type,5.24,,,,,5.24,5.24
,200574,Refrigerated Produce,Enoki Mushroom,1.56,,,,,1.56,1.56
,200575,Refrigerated Produce,Young Coconut (whole),2.3,,,,,2.3,2.3
,200576,Frozen Meat,Edible Pork Blood,3.14,,,,,3.14,3.14
,200577,Frozen Meat,Cooked Beef Meatballs,4.5,,,,,4.5,4.5
,200578,Frozen Meat,Cooked Beef Tendon Ball,4.5,,,,,4.5,4.5
,200579,Frozen Meat,Cooked Pork Balls,4.61,,,,,4.61,4.61
,200580,Frozen Meat,Seasoned Chicken Skewers,6.81,,,,,6.81,6.81
,200581,Frozen Meat,Beef Tapa,3.77,,,,,3.77,3.77
,200582,Frozen Meat,Chicken Tocino,4.08,,,,,4.08,4.08
,200583,Frozen Meat,Beef Longansia,6.29,,,,,6.29,6.29
,200584,Frozen Meat,Swee Pork Longanisa,5.76,,,,,5.76,5.76
,200585,Frozen Meat,Pork Meat Balls,4.82,,,,,4.82,4.82
,200586,Frozen Meat,Beef Tendon Balls,5.03,,,,,5.03,5.03
,200587,Frozen Meat,Cured Pork Sausage,14.69,,,,,14.69,14.69
,200588,Frozen Meat,Hot Dogs,3.14,,,,,3.14,3.14
,200589,Frozen Meat,Cured Ground Pork For BBQ Meat Balls,9.44,,,,,9.44,9.44
,200590,Frozen Meat,Cooked Beef & Beef Tendon Balls,4.82,,,,,4.82,4.82
,200591,Frozen Meat,Cooked Sliced Pork Skins,1.77,,,,,1.77,1.77
,200592,Frozen Meat,Pork Meatloaf,4.19,,,,,4.19,4.19
,200593,Frozen Meat,Pork Meatloaf with Pork Skins,4.19,,,,,4.19,4.19
,200594,Frozen Fish,Frozen Crab With Shell Cooked (BA KHIA),5.03,,,,,5.03,5.03
,200595,Frozen Fish,Greenshell Mussels,14.69,,,,,14.69,14.69
,200596,Frozen Fish,"White Shrimp (Raw, Large, 26-30)",15.74,,,,,15.74,15.74
,200597,Frozen Fish,Shrimp (Peeled and Deveined),16.79,,,,,16.79,16.79
,200598,Frozen Fish,Blood Clam,4.4,,,,,4.4,4.4
,200599,Frozen Fish,Squid Rings (12 oz),4.19,,,,,4.19,4.19
,200600,Frozen Fish,Yellow Eel,4.82,,,,,4.82,4.82
,200601,Frozen Fish,Yellowtail Scad Fish,5.76,,,,,5.76,5.76
,200602,Frozen Fish,Bonito Tuna Fisn,12.48,,,,,12.48,12.48
,200603,Frozen Fish,Baby Snake Head Fish Fillet,7.86,,,,,7.86,7.86
,200604,Frozen Fish,Loligo Squid Tentacles,5.24,,,,,5.24,5.24
,200605,Frozen Fish,Frozen Whole Cleaned Octopus,4.19,,,,,4.19,4.19
,200606,Frozen Fish,Frozen Cuttlefish (Cleaned) IVP,4.92,,,,,4.92,4.92
,200607,Frozen Fish,Frozen Raw Shrimp (4Lbs.),26.24,,,,,26.24,26.24
,200608,Frozen Fish,Frozen Squid (3lb),10.38,,,,,10.38,10.38
,200609,Frozen Fish,Silver Fish,8.18,,,,,8.18,8.18
,200610,Frozen Fish,Gourami Fish Gutted,7.86,,,,,7.86,7.86
,200611,Frozen Fish,Frog Cleaned,9.86,,,,,9.86,9.86
,200612,Frozen Fish,Frozen Krill,2.72,,,,,2.72,2.72
,200613,Frozen Fish,Frozen Tiny Shrimp,3.14,,,,,3.14,3.14
,200614,Frozen Fish,Blue Crab,3.77,,,,,3.77,3.77
,200615,Frozen Fish,Periwinkle Meat,1.88,,,,,1.88,1.88
,200616,Frozen Fish,Frozen Climbing Perch Gutted,2.09,,,,,2.09,2.09
,200617,Frozen Fish,Clams,4.19,,,,,4.19,4.19
,200618,Frozen Fish,Imitation Crab Flakes,2.09,,,,,2.09,2.09
,200619,Frozen Fish,Dried Silver Croaker,4.19,,,,,4.19,4.19
