Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,70061,Meat Entrees,Shrimp Korma (GF),16.95,,,,,18.65,18.65
,70062,Meat Entrees,Chicken Jalfrezi (GF),13.95,,,,,15.35,15.35
,70063,Meat Entrees,Lamb Jalfrezi (GF),15.95,,,,,17.55,17.55
,70064,Meat Entrees,Shrimp Jalfrezi (GF),16.95,,,,,18.65,18.65
,70065,Meat Entrees,Chicken Vindaloo (GF),13.95,,,,,15.35,15.35
,70066,Meat Entrees,Lamb Vindaloo (GF),15.95,,,,,17.55,17.55
,70067,Meat Entrees,Shrimp Vindaloo (GF),16.95,,,,,18.65,18.65
,70068,Meat Entrees,Chicken Coconut Curry (GF),14.95,,,,,16.45,16.45
,70069,Meat Entrees,Lamb Coconut Curry (GF),15.95,,,,,17.55,17.55
,70070,Meat Entrees,Shrimp Coconut Curry (GF),16.95,,,,,18.65,18.65
,70071,Meat Entrees,Chicken Tikka Masala (GF),14.95,,,,,16.45,16.45
,70072,Meat Entrees,Lamb Tikka Masala (GF),15.95,,,,,17.55,17.55
,70073,Meat Entrees,Prawn Tikka Masala (GF),16.95,,,,,18.65,18.65
,70074,Meat Entrees,Chicken Saag (GF),13.95,,,,,15.35,15.35
,70075,Meat Entrees,Lamb Saag (GF),15.95,,,,,17.55,17.55
,70076,Meat Entrees,Prawn Saag (GF),16.95,,,,,18.65,18.65
,70077,Meat Entrees,Curry (GF),12.95,,,,,14.25,14.25
,70078,Meat Entrees,Chicken Curry (GF),12.95,,,,,14.25,14.25
,70079,Meat Entrees,Lamb Curry (GF),15.95,,,,,17.55,17.55
,70080,Meat Entrees,Shrimp Curry (GF),16.95,,,,,18.65,18.65
,70081,Meat Entrees,Fish (seasonal) Curry (GF),16.95,,,,,18.65,18.65
,70082,Meat Entrees,Goat Curry (GF),16.95,,,,,18.65,18.65
,70083,Biryani & Rice,Vegetable Biryani (VG & GF),11.95,,,,,13.15,13.15
,70084,Biryani & Rice,Chicken Biryani (GF),13.95,,,,,15.35,15.35
,70085,Biryani & Rice,Lamb Biryani (GF),15.95,,,,,17.55,17.55
,70086,Biryani & Rice,Goat Biryani (GF),15.95,,,,,17.55,17.55
,70087,Biryani & Rice,Shrimp Biryani (GF),16.95,,,,,18.65,18.65
,70088,Sides,Pillav Rice (Vegan & GF),4.95,,,,,5.94,5.94
,70089,Sides,Steamed Basmati Rice,1.95,,,,,3,3
,70090,Accompaniments,Mango Chutney,3.95,,,,,4.74,4.74
,70091,Accompaniments,Raita,1.95,,,,,3.54,3.54
,70092,Accompaniments,Onion Salad,2.95,,,,,3.54,3.54
,70093,Dessert,Kheer (Rice Pudding) (GF),3.95,,,,,4.46,4.46
,70094,Dessert,Gulab Jamun,3.95,,,,,3.95,3.95
,70095,Dessert,"Kulfi (mango, pistachio or strawberry)",3.95,,,,,3.95,3.95
,70096,Dessert,Indian Tea,2.5,,,,,2.81,2.81
,70097,Dessert,Indian Coffee,2.5,,,,,2.81,2.81
,70098,Beverages,Mango Lassi,3.95,,,,,4.44,4.44
,70099,Beverages,Strawberry Lassi,3.95,,,,,4.44,4.44
,70100,Beverages,Rose Lassi,2.95,,,,,3.32,3.32
,70101,Beverages,Rose Milk,2.95,,,,,3.32,3.32
,70102,Beverages,Soft Drink,1.95,,,,,2.19,2.19
,70103,Donate,$1 Donation,1,,,,,1,1
,70104,Donate,$5 Donation,5,,,,,5,5
,70105,Donate,$10 Donation,10,,,,,10,10
,70106,Donate,$20 Donation,20,,,,,20,20
,70107,Donate,$50 Donation,50,,,,,50,50
,70108,Donate,$100 Donation,100,,,,,100,100
,,,Full Order,2.95,,Add - On,,,3.3,3.3
