Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,110079,Lunch Menu (11:00-4:00),"L2 Soft Chicken Taco, Soft Bean Taco",8.99,,,,,9.89,9.89
,110080,Lunch Menu (11:00-4:00),"L3 Chille Verde Burrito, Chicken Enchilada",8.99,,,,,9.89,9.89
,110081,Lunch Menu (11:00-4:00),"L4 Bean & Cheese Burrito, Cheese Enchilada",8.99,,,,,9.89,9.89
,110082,Lunch Menu (11:00-4:00),"L5 Chicken Enchilada, Chicken Tostada",8.49,,,,,9.89,9.89
,110083,Lunch Menu (11:00-4:00),L6 Chile Verde Burrito,8.99,,,,,9.34,9.34
,110084,Lunch Menu (11:00-4:00),L7 Fish Taco,8.49,,,,,9.34,9.34
,110085,Lunch Menu (11:00-4:00),L8 Pork Tamale,8.49,,,,,9.34,9.34
,110086,Lunch Menu (11:00-4:00),L9 Chile Relleno,8.49,,,,,9.34,9.34
,110087,Lunch Menu (11:00-4:00),L10 Carnitas Taco,8.49,,,,,9.34,9.34
,110088,Kids Menu,Adrianita (Cheese Quesadilla),6.99,,,,,7.69,7.69
,110089,Kids Menu,Alaincito (Beef Taco),6.99,,,,,7.69,7.69
,110090,Kids Menu,Natita (Cheese Enchilada),6.99,,,,,7.69,7.69
,110091,Kids Menu,Matito (Bean & Cheese Burrito),6.99,,,,,7.69,7.69
,110092,Dessert,Churros,1.5,,,,,1.75,1.75
,110093,Dessert,Flan,3.99,,,,,4.69,4.69
,110094,Dessert,Fried Ice Cream,3.99,,,,,4.69,4.69
,,,Add Chicken,1.99,,Add - On,,,2.4,2.4
,,,Chicken,0.99,,Add - On,,,1.2,1.2
,,,Add Egg,0.99,,Add - On,,,1.1,1.1
,,,Hot,0.99,,Add - On,,,1.2,1.2
,,,Add whipped cream and caramel,0.99,,Add - On,,,1.12,1.12
